,year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypcm,linecm,detailcm
30569,2010,6,487,1192010,1420,1,O,P,2,FEL,5,P,Y,N,N, ,N, ,0,0,N,I,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,6,6,N,N,V,S,M,W,11081962,47,6,0,175,BR,GR,T, ,L, , ,SIDEWALK,78,8 AVENUE,WEST 14 STREET,GREENWICH AVENUE, ,MANHATTAN, , ,6,G, ,38,983543,208767,CM,1,85
416235,2010,42,7138,9042010,225,1,I,T,10,FELONY,2,V,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,873,873,N,N, , ,M,B,12311900,19,6,1,175,BK,BR,M, ,L, , ,MEZZANINE, , ,SOUTHERN BOULEVARD,FREEMAN STREET, ,BRONX, , ,42,E, , ,1014172,241737,CM,1,45
318345,2010,33,2628,6302010,1240,1,I,T,5,ROBBERY,4,V,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,862,862,Y,N, , ,M,B,4051965,45,6,1,200,BK,BR,M, ,L, , ,CLOSE-END AND MVM, , ,BROADWAY,WEST 168 STREET, ,MANHATTAN, , ,33,B,6, ,1000916,245710,CM,1, 85
541524,2010,108,6384,11172010,2338,1,O,P,3,CSCS,5,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N,108,108,Y,N, , ,M,Q,4101988,22,6,1,210,BK,BR,M, ,L, , ,COURTYARD,35-46,65 STREET,37 AVENUE,BROADWAY, ,QUEENS, , ,108,J, , ,1012612,212240,CM,1,28
113101,2010,14,2295,3072010,2240,1,I,T,5,MISD/ CPW,7,P,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,850,850,N,Y, , ,M,Q,7181977,43,5,10,170,ZZ,BR,T, ,L, , ,PLAT, , ,WEST 34 STREET,AVENUE OF THE AMERI, ,MANHATTAN, , ,14,C,7, ,987636,212439,CM,1,20
27655,2010,110,779,1172010,846,A,O,P,1,CPW,5,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,110,110,Y,N, , ,F,P,3191956,53,5,0,150,BK,BK,M, ,L, , ,STREET, , ,ROOSEVELT AVENUE,114 STREET, ,QUEENS, , ,110,J, , ,1025088,213482,CM,1,20
426709,2010,23,11981,9112010,20,1,O,H,1,CPW,3,R,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,805,805,Y,N, , ,F,B,12311900,30,5,6,160,BK,BR,M, ,L, , , , , ,LEXINGTON AVENUE,EAST 112 STREET, ,MANHATTAN, , ,23,H, , ,999898,229313,CM,1,20
69832,2010,23,2084,2102010,230,1,O,H,5,ROBBERY,5,V,Y,Y,N, ,N, ,0,0,N, ,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,23,23,Y,N,V,S,M,B,1301992,18,5,9,210,BK,BR,H, ,L, , ,STREET, , ,LEXINGTON AVENUE,EAST 108 STREET, ,MANHATTAN, , ,23,E, , ,999389,228394,CM,1,85
544056,2010,75,25041,11192010,1012,A,I,P,2,ROBBERY,2,P,Y,N,N, ,Y,PARK AFT,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,165,75,N,N, , ,M,B,5271990,20,5,10,180,BK,BR,M, ,L, , ,PARK, , ,JAMAICA AVENUE,HIGHLAND PARK, ,BROOKLYN, , ,75,A, , , , ,CM,1,85
537197,2010,46,10143,11152010,600,A,O,P,1,CPW,15,P,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,46,46,N,N, , ,M,B,7281974,35,5,3,180,BK,BK,M, ,L, , ,ST,294,EAST BURNSIDE,RYER AVENUE,ANTHONY AVENUE, ,BRONX, , ,46,B,2,8,1011437,249347,CM,1,20
211760,2010,52,2665,5012010,1830,A,O,P,1,MISD,15,V,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,173,52,N,N, , ,M,B,7121994,15,5,10,120,BK,BR,M, ,L, , , ,2821,BRIGGS AVENUE,EAST 198 STREET,EAST 197 STREET, ,BRONX, , ,52,G, , ,1014784,255748,CM,1,20
216695,2010,104,2998,5042010,1758,A,O,P,1,BURGLARY,5,P,Y,N,Y,140.10,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,104,104,Y,N, ,S,M,Z,4271991,19,3,2,165,BR,BR,M, ,L, , ,RESD,73-23,53 AVENUE,74 STREET,73 STREET, ,QUEENS, , ,104,J, , ,1014765,205708,CM,1,14
153433,2010,115,3576,4022010,2344,A,O,P,1,CPW,3,P,Y,Y,N, ,N, ,0,0,N, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,110,112,Y,N,V,S,M,P,8061988,21,5,4,190,BK,BR,M, ,L, , ,SIDEWALK, , ,37 AVENUE,94 STREET, ,QUEENS, , ,115,H, , ,1019393,212881,CM,1,20
